"Datum","Uhrzeit","Zeitzone","Beschreibung","Währung","Brutto","Entgelt","Netto","Guthaben","Transaktionscode","Absender E-Mail-Adresse","Name","Name der Bank","Bankkonto","Versand- und Bearbeitungsgebühr","Umsatzsteuer","Rechnungsnummer","Zugehöriger Transaktionscode"
"03.12.2022","01:39:03","America/Los_Angeles","Zahlung im Einzugsverfahren mit Zahlungsrechnung","EUR","-9,99","0,00","-9,99","-9,99","17N09542SG785603M","paypal-se@spotify.com","Spotify AB","","","0,00","0,00","P1F5086058","B-19128169KJ870230K"
"03.12.2022","01:39:03","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","9,99","0,00","9,99","0,00","6V722708KW825721H","","","Commerzbank AG","4000","0,00","0,00","P1F5086058","17N09542SG785603M"
"04.12.2022","02:14:30","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","12,94","0,00","12,94","12,94","7CP86068BN734362A","","","Commerzbank AG","4000","0,00","0,00","BT-270c06a5-256b-41bd-9ca8-ddc971c79dbe","29B71864F61440510"
"04.12.2022","02:14:30","America/Los_Angeles","Allgemeine Währungsumrechnung","EUR","-12,94","0,00","-12,94","0,00","3GG06081C3200133U","","","","","0,00","0,00","BT-270c06a5-256b-41bd-9ca8-ddc971c79dbe","29B71864F61440510"
"08.12.2022","22:45:15","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","9,55","0,00","9,55","9,55","42G59428GB167730S","","","Commerzbank AG","4000","0,00","0,00","P988685FJ4SRGHG2","13N111226G6614548"
"08.12.2022","22:45:15","America/Los_Angeles","Allgemeine Währungsumrechnung","EUR","-9,55","0,00","-9,55","0,00","8E473177LD730680A","","","","","0,00","0,00","P988685FJ4SRGHG2","13N111226G6614548"
"11.12.2022","09:59:17","America/Los_Angeles","Handyzahlung","EUR","-18,50","0,00","-18,50","-18,50","56G28095KF2001944","gustavocbomfim@gmail.com","Gustavo Carlos Bomfim","","","0,00","0,00","",""
"11.12.2022","09:59:17","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","18,50","0,00","18,50","0,00","2SY85195KL100901K","","","Commerzbank AG","4000","0,00","0,00","","56G28095KF2001944"
"13.12.2022","09:09:29","America/Los_Angeles","PayPal Express-Zahlung","EUR","-28,00","0,00","-28,00","-28,00","8WG29361LL215822B","","CIVITATIS TOURS SL.","","","0,00","0,00","","04B35148MS070663G"
"13.12.2022","09:09:29","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","28,00","0,00","28,00","0,00","47584210M2338632J","","","Commerzbank AG","4000","0,00","0,00","","8WG29361LL215822B"
"17.12.2022","05:48:39","America/Los_Angeles","Allgemeine Abbuchung – Bankkonto","EUR","-60,91","0,00","-60,91","-60,91","3BD82284E6905361D","","","Commerzbank AG","4000","5,95","0,00","rScWGPfgjrLE0wYkYoY5IpXsB","7SF41704L4721261C"
"17.12.2022","05:48:39","America/Los_Angeles","Allgemeine Währungsumrechnung","EUR","60,91","0,00","60,91","0,00","08U33444GE369183E","","","","","5,95","0,00","rScWGPfgjrLE0wYkYoY5IpXsB","7SF41704L4721261C"
"21.12.2022","10:13:33","America/Los_Angeles","Zahlung im Einzugsverfahren mit Zahlungsrechnung","EUR","-28,99","0,00","-28,99","-28,99","3B986297G5974932H","paypal@headspace.com","Headspace Inc","","","0,00","0,00","P-08785260","B-1AL88314YF8671452"
"21.12.2022","10:13:33","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","28,99","0,00","28,99","0,00","6Y2561201U9367045","","","Commerzbank AG","4000","0,00","0,00","P-08785260","3B986297G5974932H"
"26.12.2022","10:58:07","America/Los_Angeles","Allgemeine Zahlung","EUR","-2,49","0,00","-2,49","-2,49","49N68011G9478610D","","PayPal (Europe) S.à r.l. et Cie, SCA","","","0,00","0,00","",""
"26.12.2022","10:58:07","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","2,49","0,00","2,49","0,00","2D739937LC217850L","","","Commerzbank AG","4000","0,00","0,00","","49N68011G9478610D"
"04.12.2022","02:14:30","America/Los_Angeles","Zahlung im Einzugsverfahren mit Zahlungsrechnung","USD","-12,95","0,00","-12,95","-12,95","29B71864F61440510","billing@expressvpn.com","Expressco Services, LLC","","","0,00","0,00","BT-270c06a5-256b-41bd-9ca8-ddc971c79dbe","B-34664824RM842124W"
"04.12.2022","02:14:30","America/Los_Angeles","Allgemeine Währungsumrechnung","USD","12,95","0,00","12,95","0,00","9PG40890WB194653D","","","","","0,00","0,00","BT-270c06a5-256b-41bd-9ca8-ddc971c79dbe","29B71864F61440510"
"08.12.2022","22:45:15","America/Los_Angeles","Zahlung im Einzugsverfahren mit Zahlungsrechnung","USD","-9,62","0,00","-9,62","-9,62","13N111226G6614548","paypal@scribd.com","Scribd","","","0,00","0,00","P988685FJ4SRGHG2","B-0DC64338TG330694Y"
"08.12.2022","22:45:15","America/Los_Angeles","Allgemeine Währungsumrechnung","USD","9,62","0,00","9,62","0,00","1YG24186PB9201330","","","","","0,00","0,00","P988685FJ4SRGHG2","13N111226G6614548"
"17.12.2022","05:48:39","America/Los_Angeles","Rückzahlung","USD","64,95","0,00","64,95","64,95","9VN13363RL674370U","info@anacondafightwear.co","Galvanize Marketing Ltd","","","5,95","0,00","rScWGPfgjrLE0wYkYoY5IpXsB","7SF41704L4721261C"
